"店舗名／法人名","都道府県","提案区分","ドリスロ提案区分","エリア表記(ドリスロ)","DMM_エリア表記","インフル依頼","フェーズ","案件 所有者","初開催フラグ","イベント日"
"マルハン綾瀬上土棚店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","綾瀬市上土棚北","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"出玉王田無店","東京都","ZIZAI_ドリスロ","ジャグ・ハナ","西東京市新青梅街道沿「田無タワー」近くのお店","","","100%：受注確定","小野田 眞一","0","2022/03/05"
"マルハン茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び","茅ヶ崎市中島","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ピーアーク新城マックスパチンコ","神奈川県","ZIZAI_ドリスロ","3台並び","JR武蔵新城駅　改札目の前のビル","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","","100%：受注確定","金井 英中","0","2022/03/05"
"ゴードン永山","東京都","ZIZAI_ドリスロ","3台並び","","","","100%：受注確定","金井 英中","1","2022/03/05"
"ピーアーク北千住SSS","東京都","ZIZAI_ドリスロ","3台並び","北千住駅近くの専門店","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"123笹塚店","東京都","ZIZAI_ドリスロ","3台並び","","","","100%：受注確定","吉川 英優","0","2022/03/05"
"スロットスーパーZX","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","船橋市イエローハット近くのお店","","","100%：受注確定","高野 純一","1","2022/03/06"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/03/08"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","北葛飾郡杉戸町2404","","","100%：受注確定","吉川 英優","0","2022/03/08"
"ピーアーク　ピーくんガーデン","東京都","ZIZAI_ドリスロ","3台並び","足立区郊外店","","","100%：受注確定","佐藤 寿","0","2022/03/09"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/09"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","","100%：受注確定","高野 純一","0","2022/03/09"
"パールショップともえ木更津店","千葉県","ZIZAI_ドリスロ","3台並び","木更津中里 セブンイレブン付近のお店","","","100%：受注確定","高野 純一","0","2022/03/10"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","","100%：受注確定","小野田 眞一","0","2022/03/11"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/11"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","3台並び","西川口駅東口ミスタードーナツの隣","","荻吉","100%：受注確定","金井 英中","1","2022/03/11"
"サンパレス大杉店","東京都","ZIZAI_ドリスロ","3台並び","江戸川区環七通り大杉5丁目交差点近くのお店","","","100%：受注確定","小野田 眞一","0","2022/03/11"
"ピーアーク北千住SSS","東京都","ZIZAI_ドリスロ","3台並び","北千住駅近くの専門店","","","100%：受注確定","佐藤 寿","0","2022/03/12"
"123笹塚店","東京都","ZIZAI_ドリスロ","3台並び","","","カリスマ","100%：受注確定","吉川 英優","0","2022/03/12"
"エスパス日拓秋葉原駅前店","東京都","ZIZAI_ドリスロ","全台; 3台並び","東京都のメイドが集う街の駅近くにあるお店","","","100%：受注確定","佐藤 寿","0","2022/03/12"
"マルハン綾瀬上土棚店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","綾瀬市上土棚北","","れおまとめて","100%：受注確定","佐藤 寿","0","2022/03/12"
"マルハン茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び","茅ヶ崎市中島","","れおまとめて","100%：受注確定","佐藤 寿","0","2022/03/12"
"マルハン習志野店","千葉県","ZIZAI_ドリスロ","ジャグ・ハナ","習志野市屋敷交差点付近","","","100%：受注確定","高野 純一","0","2022/03/12"
"マルハン川崎桜本店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","川崎市川崎区桜本","","れおまとめて","100%：受注確定","佐藤 寿","0","2022/03/12"
"ピーアークおゆみ野","千葉県","ZIZAI_ドリスロ","ジャグ・ハナ","千葉市緑区おゆみ野　鎌取駅　駅前","","","100%：受注確定","佐藤 寿","0","2022/03/12"
"パラッツォ馬橋駅前店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","馬橋駅徒歩1分の大型店","","","100%：受注確定","高野 純一","0","2022/03/12"
"パラッツォ三郷中央店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","三郷中央駅近く","","","100%：受注確定","高野 純一","0","2022/03/13"
"パラッツォ蕨店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","蕨市 蕨駅東口駅前の大型店","","","100%：受注確定","高野 純一","0","2022/03/13"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","ピン王軽く触れる（ミスターXっぽく）","100%：受注確定","佐藤 寿","0","2022/03/13"
"プレイスポット　ドラゴン","神奈川県","ZIZAI_ドリスロ","全台","川崎市宮前区　フィアット前","","","100%：受注確定","高野 純一","0","2022/03/13"
"プレイスポット　ドラゴン","神奈川県","ZIZAI_ドリスロ","全台","川崎市宮前区　フィアット前","","","100%：受注確定","高野 純一","0","2022/03/14"
"PIA町田 新館","東京都","ZIZAI_ドリスロ","3台並び","JR町田駅北口の近くの大型店","","","100%：受注確定","佐藤 寿","0","2022/03/14"
"ゴードン永山","東京都","ZIZAI_ドリスロ","3台並び","","","荻吉","100%：受注確定","金井 英中","0","2022/03/15"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/15"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","荻吉","100%：受注確定","金井 英中","0","2022/03/15"
"マルハン習志野店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","習志野市屋敷交差点付近","","ミスターX","100%：受注確定","高野 純一","0","2022/03/16"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","","100%：受注確定","高野 純一","0","2022/03/16"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","れお","100%：受注確定","小野田 眞一","0","2022/03/17"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","都筑区茅ヶ崎中央　センター南駅から直結のお店","","ピン王","100%：受注確定","高野 純一","0","2022/03/17"
"キコーナ松戸店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","松戸市松戸新田","","","100%：受注確定","高野 純一","0","2022/03/18"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/03/18"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","北葛飾郡杉戸町2404","","","100%：受注確定","吉川 英優","0","2022/03/18"
"オゼック国分寺","東京都","ZIZAI_ドリスロ","全台; 3台並び","国分寺駅南口京王ストア近く","","カリスマ","100%：受注確定","小野田 眞一","0","2022/03/18"
"ザシティベルシティ川崎店","神奈川県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","川崎市川崎区駅前本町のお店","","れお","100%：受注確定","金井 英中","1","2022/03/18"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","横浜駅ABCマート前","","","100%：受注確定","高野 純一","0","2022/03/19"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/19"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/19"
"123笹塚店","東京都","ZIZAI_ドリスロ","3台並び","","","カリスマ","100%：受注確定","吉川 英優","0","2022/03/19"
"ピーアーク北千住SSS","東京都","ZIZAI_ドリスロ","3台並び","北千住駅近くの専門店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/20"
"エスパス日拓新宿歌舞伎町店","東京都","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","東京で1番大きく華やかな場所","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/20"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","横浜駅ABCマート前","","","100%：受注確定","高野 純一","0","2022/03/20"
"Super D’STATION鴻巣店","埼玉県","ZIZAI_ドリスロ","全台","鴻巣市鎌塚　ローソン鴻巣鎌塚北店近くの大型店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"Super D’STATION入間店","埼玉県","ZIZAI_ドリスロ","3台並び","入間市宮寺の大型店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"Super D’STATION熊谷店","埼玉県","ZIZAI_ドリスロ","全台","熊谷市17号バイパス沿のセブンイレブン近くの大型店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"D’STATION杉戸店","埼玉県","ZIZAI_ドリスロ","全台","東武鉄道高野台駅東口 山田うどん様近くのお店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"D’STATION花園店","埼玉県","ZIZAI_ドリスロ","全台","道の駅「はなぞの」の近くのお店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"Super D’STATION上里店","埼玉県","ZIZAI_ドリスロ","全台","児玉郡上里町 国道17号線沿いの大型店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"パラッツォ蕨店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","蕨市 蕨駅東口駅前の大型店","","","100%：受注確定","高野 純一","0","2022/03/20"
"D’STATION坂戸店","埼玉県","ZIZAI_ドリスロ","全台","坂戸市塚越 セブンイレブン坂戸塚越店裏の大型店","","","100%：受注確定","吉川 英優","0","2022/03/20"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","カリスマ","100%：受注確定","金井 英中","0","2022/03/20"
"パールショップともえ松戸店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","北総線大町駅前のお店","","","100%：受注確定","高野 純一","1","2022/03/20"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","横浜駅ABCマート前","","","100%：受注確定","高野 純一","0","2022/03/21"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/21"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/03/22"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","","100%：受注確定","高野 純一","0","2022/03/22"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","3台並び","西川口駅東口ミスタードーナツの隣","","いけちん","100%：受注確定","金井 英中","0","2022/03/22"
"ミリオン習志野店","千葉県","ZIZAI_ドリスロ","3台並び","船橋市習志野４丁目コジマ向かいのお店","","れお、ミスターX","100%：受注確定","高野 純一","0","2022/03/23"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","荻吉オプチャ,カリスマ,れお(前回の結果をもとに拡散))事後はオプチャへ送客","100%：受注確定","室屋 雄三","0","2022/03/25"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","横浜駅ABCマート前","","れお","100%：受注確定","高野 純一","0","2022/03/25"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/25"
"ゴードン永山","東京都","ZIZAI_ドリスロ","3台並び","","","荻吉オプチャ,カリスマ,れお(前回の結果をもとに拡散))事後はオプチャへ送客","100%：受注確定","金井 英中","0","2022/03/25"
"エスパス日拓秋葉原駅前店","東京都","ZIZAI_ドリスロ","全台; 3台並び","東京都のメイドが集う街の駅近くにあるお店","","カリスマ,れお(前回の結果をもとに拡散))事後はオプチャへ送客","100%：受注確定","佐藤 寿","0","2022/03/26"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","横浜駅ABCマート前","","カリスマ（神奈川まとめて）","100%：受注確定","高野 純一","0","2022/03/26"
"スロットスーパーZX","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","船橋市イエローハット近くのお店","","","100%：受注確定","高野 純一","0","2022/03/26"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","横浜駅ABCマート前","","カリスマ（神奈川まとめて）","100%：受注確定","高野 純一","0","2022/03/27"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/03/27"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","都筑区茅ヶ崎中央　センター南駅から直結のお店","","カリスマ（神奈川まとめて）","100%：受注確定","高野 純一","0","2022/03/27"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","カリスマ,れお(前回の結果をもとに拡散))事後はオプチャへ送客","100%：受注確定","佐藤 寿","0","2022/03/27"
"パールショップともえ7G・E・T葉山店","千葉県","ZIZAI_ドリスロ","3台並び","ケーヨーデイツー芝山店前のスロ専","","ミスター","100%：受注確定","高野 純一","0","2022/03/27"
"ピーアーク北千住SSS","東京都","ZIZAI_ドリスロ","3台並び","北千住駅近くの専門店","","","100%：受注確定","佐藤 寿","0","2022/03/27"
"新！ガーデン八潮","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","首都高速6号 八潮パーキング付近","","","100%：受注確定","小野田 眞一","0","2022/03/28"
"ベルシティザシティ新杉田店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市磯子区中原ﾌｧﾐﾘｰﾏｰﾄ磯子中原二丁目店近く","","れお","100%：受注確定","金井 英中","0","2022/03/28"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","いけちん","100%：受注確定","吉川 英優","0","2022/03/28"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","北葛飾郡杉戸町2404","","いけちん","100%：受注確定","吉川 英優","0","2022/03/28"
"ピーアーク　ピーくんガーデン","東京都","ZIZAI_ドリスロ","3台並び","足立区郊外店","","ミスターx","100%：受注確定","佐藤 寿","0","2022/03/29"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","れお","100%：受注確定","佐藤 寿","0","2022/03/29"
"パールショップともえ木更津店","千葉県","ZIZAI_ドリスロ","3台並び","木更津中里 セブンイレブン付近のお店","","ミスターX","100%：受注確定","高野 純一","0","2022/03/30"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","れお","100%：受注確定","小野田 眞一","0","2022/03/31"
"マルハン茂原店","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","茂原市腰当交差点そば","","ミスターX","100%：受注確定","高野 純一","0","2022/03/31"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","れお","100%：受注確定","佐藤 寿","0","2022/03/31"
"エスパス日拓新宿歌舞伎町店","東京都","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","東京で1番大きく華やかな場所","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/01"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/01"
"第一プラザ坂戸1000","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","坂戸市明治工場さまそば、ベルク坂戸石井店さま目の前の大型店","","いけちん","100%：受注確定","金井 英中","0","2022/04/01"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","カリスマ","100%：受注確定","金井 英中","0","2022/04/01"
"マルハン秦野元町店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","秦野市元町","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/01"
"グランドホール長後店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","藤沢市長後国道467号線沿い近く","","れお","100%：受注確定","小野田 眞一","0","2022/04/02"
"PIA柏スロット館","千葉県","ZIZAI_ドリスロ","3台並び","柏二番街中央地下スロット専門店","","荻吉","100%：受注確定","佐藤 寿","0","2022/04/02"
"ガーデン北戸田","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区のいつものお店","","","100%：受注確定","小野田 眞一","0","2022/04/02"
"マルハン都筑店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区","","れお","100%：受注確定","佐藤 寿","0","2022/04/02"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","3台並び","横浜駅ABCマート前","","れお","100%：受注確定","高野 純一","0","2022/04/02"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","れお","100%：受注確定","小野田 眞一","0","2022/04/02"
"マルハン川口店","埼玉県","ZIZAI_ドリスロ","3台並び","川口市の川沿いのお店","","いけちん","100%：受注確定","佐藤 寿","1","2022/04/02"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","3台並び","横浜駅ABCマート前","","","100%：受注確定","高野 純一","0","2022/04/03"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","れお","100%：受注確定","小野田 眞一","0","2022/04/03"
"パラッツォ蕨店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","蕨市 蕨駅東口駅前の大型店","","いけちん","100%：受注確定","高野 純一","0","2022/04/03"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/03"
"パラッツォ馬橋中根長津店","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","千葉県松戸市中根長津町","","ミスターX","100%：受注確定","高野 純一","1","2022/04/03"
"パラッツォ馬橋駅前店","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","馬橋駅徒歩1分の大型店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/03"
"アビバ湘南台店","神奈川県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","湘南台駅東口直結のお店","","れお","100%：受注確定","佐藤 寿","0","2022/04/03"
"キコーナ茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","茅ヶ崎市南湖","","カリスマ","100%：受注確定","高野 純一","0","2022/04/03"
"PIA京急川崎","神奈川県","ZIZAI_ドリスロ","3台並び","京急川崎駅　駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/04/04"
"PIA川崎ダイス","神奈川県","ZIZAI_ドリスロ","3台並び","川崎アゼリア地下街直結のお店","","","100%：受注確定","佐藤 寿","0","2022/04/04"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","3台並び","横浜駅ABCマート前","","","100%：受注確定","高野 純一","0","2022/04/04"
"Super D’STATION鴻巣店","埼玉県","ZIZAI_ドリスロ","全台","鴻巣市鎌塚　ローソン鴻巣鎌塚北店近くの大型店","","荻吉","100%：受注確定","吉川 英優","0","2022/04/04"
"Super D’STATION上里店","埼玉県","ZIZAI_ドリスロ","3台並び","児玉郡上里町 国道17号線沿いの大型店","","荻吉","100%：受注確定","吉川 英優","0","2022/04/04"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","西川口駅東口ミスタードーナツの隣","","カリスマ","100%：受注確定","金井 英中","0","2022/04/04"
"マルハン厚木北店","神奈川県","ZIZAI_ドリスロ","全台","厚木市下荻野","","れお","100%：受注確定","佐藤 寿","0","2022/04/05"
"PIA津田沼","千葉県","ZIZAI_ドリスロ","3台並び","JR津田沼駅　りそな銀行隣のお店","","ミスターX","100%：受注確定","佐藤 寿","0","2022/04/05"
"出玉王田無店","東京都","ZIZAI_ドリスロ","ジャグ・ハナ","西東京市新青梅街道沿「田無タワー」近くのお店","","カリスマ","100%：受注確定","小野田 眞一","0","2022/04/05"
"パラッツォ三郷中央店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","三郷中央駅近く","","いけちん","100%：受注確定","高野 純一","0","2022/04/05"
"ザシティベルシティ川崎店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","川崎市川崎区駅前本町のお店","","れお","100%：受注確定","金井 英中","0","2022/04/05"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/05"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","カリスマ","100%：受注確定","金井 英中","0","2022/04/05"
"ゴードン永山","東京都","ZIZAI_ドリスロ","3台並び","","","カリスマ(地名告知)","100%：受注確定","金井 英中","0","2022/04/05"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","れお","100%：受注確定","吉川 英優","0","2022/04/06"
"パールショップともえ木更津店","千葉県","ZIZAI_ドリスロ","3台並び","木更津中里 セブンイレブン付近のお店","","ピン王","100%：受注確定","高野 純一","0","2022/04/06"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/06"
"ユーコーラッキー松戸店","千葉県","ZIZAI_ドリスロ","3台並び","松戸市本町　西口公園","","ミスターX","100%：受注確定","佐藤 寿","0","2022/04/07"
"アミューズメントコミュニティJURAKU王子店","東京都","ZIZAI_ドリスロ","全台","JR王子駅北口を出てすぐ目の前のお店","","カリスマ、荻吉","100%：受注確定","佐藤 寿","0","2022/04/07"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/04/07"
"パールショップともえ7G・E・T葉山店","千葉県","ZIZAI_ドリスロ","3台並び","ケーヨーデイツー芝山店前のスロ専","","ピン王","100%：受注確定","高野 純一","0","2022/04/07"
"ベルシティザシティ東松山店","埼玉県","ZIZAI_ドリスロ","3台並び","407号沿い山田うどん隣","","","100%：受注確定","金井 英中","1","2022/04/08"
"PIA川崎ダイス","神奈川県","ZIZAI_ドリスロ","3台並び","川崎アゼリア地下街直結のお店","","れお","100%：受注確定","佐藤 寿","0","2022/04/08"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/04/08"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","3台並び","北葛飾郡杉戸町2404","","","100%：受注確定","吉川 英優","0","2022/04/08"
"阿佐ヶ谷オーシャン","東京都","ZIZAI_ドリスロ","3台並び","杉並区のお店","","","100%：受注確定","金井 英中","0","2022/04/08"
"マルハン都筑店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/09"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","3台並び","横浜駅ABCマート前","","ピン王(連日開催1ツイート)","100%：受注確定","高野 純一","0","2022/04/09"
"メガガーデン所沢スロット館","埼玉県","ZIZAI_ドリスロ","3台並び","所沢のいつものお店","","","100%：受注確定","小野田 眞一","0","2022/04/09"
"マルハン茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び","茅ヶ崎市中島","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/09"
"マルハン習志野店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","習志野市屋敷交差点付近","","ミスターX","100%：受注確定","高野 純一","0","2022/04/09"
"マルハン川崎桜本店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","川崎市川崎区桜本","","カリスマ(マルハンまとめて1ツイート)","100%：受注確定","佐藤 寿","0","2022/04/09"
"ピーアーク　ピーくんガーデン","東京都","ZIZAI_ドリスロ","3台並び","足立区郊外店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/09"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","れお","100%：受注確定","佐藤 寿","0","2022/04/09"
"パラッツォ馬橋駅前店","千葉県","ZIZAI_ドリスロ","全台","馬橋駅徒歩1分の大型店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/09"
"マルハン川口店","埼玉県","ZIZAI_ドリスロ","3台並び","川口市の川沿いのお店","","いけちん","100%：受注確定","佐藤 寿","0","2022/04/09"
"新！ガーデン八潮","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","首都高速6号 八潮パーキング付近","","","100%：受注確定","小野田 眞一","0","2022/04/09"
"新！ガーデン西浦和","埼玉県","ZIZAI_ドリスロ","全台","西浦和のいつものお店","","いけちん","100%：受注確定","小野田 眞一","0","2022/04/10"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","3台並び","横浜駅ABCマート前","","れお","100%：受注確定","高野 純一","0","2022/04/10"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","れお","100%：受注確定","小野田 眞一","0","2022/04/10"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/10"
"アミューズメントコミュニティJURAKU王子店","東京都","ZIZAI_ドリスロ","3台並び","JR王子駅北口を出てすぐ目の前のお店","","カリスマ、荻吉","100%：受注確定","佐藤 寿","0","2022/04/11"
"SLOT KING横浜西口","神奈川県","ZIZAI_ドリスロ","3台並び","横浜駅ABCマート前","","れお","100%：受注確定","高野 純一","0","2022/04/11"
"大山オーシャンスロット専門館","東京都","ZIZAI_ドリスロ","全台","板橋区のお店","","","100%：受注確定","金井 英中","0","2022/04/11"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/11"
